Logging to logs/ppo_cnn_7x7_4
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 238      |
|    ep_rew_mean     | -3.57    |
| time/              |          |
|    fps             | 2420     |
|    iterations      | 1        |
|    time_elapsed    | 27       |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 261          |
|    ep_rew_mean          | -3.43        |
| time/                   |              |
|    fps                  | 1755         |
|    iterations           | 2            |
|    time_elapsed         | 74           |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0019741394 |
|    clip_fraction        | 0.0139       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.847       |
|    explained_variance   | -0.0361      |
|    learning_rate        | 0.0005       |
|    loss                 | 0.146        |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00199     |
|    value_loss           | 0.367        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 279          |
|    ep_rew_mean          | -3.38        |
| time/                   |              |
|    fps                  | 1616         |
|    iterations           | 3            |
|    time_elapsed         | 121          |
|    total_timesteps      | 196608       |
| train/                  |              |
|    approx_kl            | 0.0036175963 |
|    clip_fraction        | 0.0537       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.844       |
|    explained_variance   | 0.219        |
|    learning_rate        | 0.000499     |
|    loss                 | 0.117        |
|    n_updates            | 8            |
|    policy_gradient_loss | -0.00619     |
|    value_loss           | 0.263        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 318         |
|    ep_rew_mean          | -3.27       |
| time/                   |             |
|    fps                  | 1552        |
|    iterations           | 4           |
|    time_elapsed         | 168         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.004949037 |
|    clip_fraction        | 0.0983      |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.844      |
|    explained_variance   | 0.253       |
|    learning_rate        | 0.000499    |
|    loss                 | 0.0922      |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.00769    |
|    value_loss           | 0.218       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 337          |
|    ep_rew_mean          | -3.24        |
| time/                   |              |
|    fps                  | 1516         |
|    iterations           | 5            |
|    time_elapsed         | 216          |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0059802476 |
|    clip_fraction        | 0.121        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.826       |
|    explained_variance   | 0.275        |
|    learning_rate        | 0.000499     |
|    loss                 | 0.0677       |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.00775     |
|    value_loss           | 0.175        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 385          |
|    ep_rew_mean          | -3.11        |
| time/                   |              |
|    fps                  | 1493         |
|    iterations           | 6            |
|    time_elapsed         | 263          |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0067176027 |
|    clip_fraction        | 0.138        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.802       |
|    explained_variance   | 0.232        |
|    learning_rate        | 0.000498     |
|    loss                 | 0.0513       |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00729     |
|    value_loss           | 0.164        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 414          |
|    ep_rew_mean          | -3.53        |
| time/                   |              |
|    fps                  | 1474         |
|    iterations           | 7            |
|    time_elapsed         | 311          |
|    total_timesteps      | 458752       |
| train/                  |              |
|    approx_kl            | 0.0075016674 |
|    clip_fraction        | 0.161        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.776       |
|    explained_variance   | 0.261        |
|    learning_rate        | 0.000498     |
|    loss                 | 0.0449       |
|    n_updates            | 24           |
|    policy_gradient_loss | -0.00733     |
|    value_loss           | 0.142        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 378         |
|    ep_rew_mean          | -3.34       |
| time/                   |             |
|    fps                  | 1461        |
|    iterations           | 8           |
|    time_elapsed         | 358         |
|    total_timesteps      | 524288      |
| train/                  |             |
