Logging to logs/PPO_4
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 59.3     |
|    ep_rew_mean     | 0.267    |
| time/              |          |
|    fps             | 23003    |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 59           |
|    ep_rew_mean          | 0.475        |
| time/                   |              |
|    fps                  | 20471        |
|    iterations           | 2            |
|    time_elapsed         | 6            |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0040063756 |
|    clip_fraction        | 0.0784       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.601       |
|    explained_variance   | -1.03        |
|    learning_rate        | 0.00025      |
|    loss                 | 0.0428       |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00588     |
|    value_loss           | 0.0957       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.9         |
|    ep_rew_mean          | 0.804        |
| time/                   |              |
|    fps                  | 19892        |
|    iterations           | 3            |
|    time_elapsed         | 9            |
|    total_timesteps      | 196608       |
| train/                  |              |
|    approx_kl            | 0.0054243514 |
|    clip_fraction        | 0.136        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.582       |
|    explained_variance   | 0.041        |
|    learning_rate        | 0.00025      |
|    loss                 | 0.0399       |
|    n_updates            | 8            |
|    policy_gradient_loss | -0.0103      |
|    value_loss           | 0.0881       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.5        |
|    ep_rew_mean          | 1.34        |
| time/                   |             |
|    fps                  | 19596       |
|    iterations           | 4           |
|    time_elapsed         | 13          |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.006299302 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.555      |
|    explained_variance   | 0.0577      |
|    learning_rate        | 0.00025     |
|    loss                 | 0.0399      |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.0108     |
|    value_loss           | 0.0936      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 57.2         |
|    ep_rew_mean          | 1.42         |
| time/                   |              |
|    fps                  | 19387        |
|    iterations           | 5            |
|    time_elapsed         | 16           |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0069313506 |
|    clip_fraction        | 0.139        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.511       |
|    explained_variance   | 0.0651       |
|    learning_rate        | 0.000249     |
|    loss                 | 0.0347       |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.00991     |
|    value_loss           | 0.104        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56          |
|    ep_rew_mean          | 1.53        |
| time/                   |             |
|    fps                  | 19314       |
|    iterations           | 6           |
|    time_elapsed         | 20          |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.006904572 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.46       |
|    explained_variance   | 0.0802      |
|    learning_rate        | 0.000249    |
|    loss                 | 0.0378      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0084     |
|    value_loss           | 0.0979      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52          |
|    ep_rew_mean          | 1.64        |
| time/                   |             |
|    fps                  | 19166       |
|    iterations           | 7           |
|    time_elapsed         | 23          |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.005388027 |
|    clip_fraction        | 0.0757      |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.411      |
|    explained_variance   | 0.112       |
|    learning_rate        | 0.000249    |
|    loss                 | 0.041       |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.00658    |
|    value_loss           | 0.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.2        |
|    ep_rew_mean          | 2.03        |
| time/                   |             |
|    fps                  | 19083       |
|    iterations           | 8           |
|    time_elapsed         | 27          |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.004490476 |
|    clip_fraction        | 0.0635      |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.369      |
|    explained_variance   | 0.156       |
