Logging to logs/PPO_7
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 160      |
|    ep_rew_mean     | -2.04    |
| time/              |          |
|    fps             | 3694     |
|    iterations      | 1        |
|    time_elapsed    | 35       |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 193          |
|    ep_rew_mean          | -1.63        |
| time/                   |              |
|    fps                  | 2241         |
|    iterations           | 2            |
|    time_elapsed         | 116          |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0036885827 |
|    clip_fraction        | 0.0404       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.798       |
|    explained_variance   | -0.0946      |
|    learning_rate        | 0.000499     |
|    loss                 | 0.0607       |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00478     |
|    value_loss           | 0.175        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 206         |
|    ep_rew_mean          | -1.39       |
| time/                   |             |
|    fps                  | 1991        |
|    iterations           | 3           |
|    time_elapsed         | 197         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.005015352 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.779      |
|    explained_variance   | 0.157       |
|    learning_rate        | 0.000499    |
|    loss                 | 0.0381      |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.00997    |
|    value_loss           | 0.0995      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
|    ep_rew_mean          | -1.06       |
| time/                   |             |
|    fps                  | 1888        |
|    iterations           | 4           |
|    time_elapsed         | 277         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.006434617 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.757      |
|    explained_variance   | 0.189       |
|    learning_rate        | 0.000498    |
|    loss                 | 0.0208      |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 0.0728      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 225          |
|    ep_rew_mean          | -0.74        |
| time/                   |              |
|    fps                  | 1838         |
|    iterations           | 5            |
|    time_elapsed         | 356          |
|    total_timesteps      | 655360       |
| train/                  |              |
|    approx_kl            | 0.0077356417 |
|    clip_fraction        | 0.175        |
|    clip_range           | 0.149        |
|    entropy_loss         | -0.719       |
|    explained_variance   | 0.224        |
|    learning_rate        | 0.000497     |
|    loss                 | 0.012        |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.0106      |
|    value_loss           | 0.0463       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 222         |
|    ep_rew_mean          | -0.352      |
| time/                   |             |
|    fps                  | 1802        |
|    iterations           | 6           |
|    time_elapsed         | 436         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.008419361 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.675      |
|    explained_variance   | 0.243       |
|    learning_rate        | 0.000497    |
|    loss                 | -6.64e-05   |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 0.0341      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 214         |
|    ep_rew_mean          | -0.0272     |
| time/                   |             |
|    fps                  | 1769        |
|    iterations           | 7           |
|    time_elapsed         | 518         |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.010006798 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.629      |
|    explained_variance   | 0.237       |
|    learning_rate        | 0.000496    |
|    loss                 | -0.00812    |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.0114     |
|    value_loss           | 0.0251      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 205        |
|    ep_rew_mean          | 0.195      |
| time/                   |            |
|    fps                  | 1754       |
|    iterations           | 8          |
|    time_elapsed         | 597        |
|    total_timesteps      | 1048576    |
| train/                  |            |
|    approx_kl            | 0.01116195 |
|    clip_fraction        | 0.218      |
|    clip_range           | 0.149      |
|    entropy_loss         | -0.58      |
|    explained_variance   | 0.257      |
|    learning_rate        | 0.000495   |
|    loss                 | -0.0095    |
|    n_updates            | 28         |
|    policy_gradient_loss | -0.0108    |
|    value_loss           | 0.0191     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | 0.498       |
| time/                   |             |
|    fps                  | 1752        |
|    iterations           | 9           |
|    time_elapsed         | 673         |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    approx_kl            | 0.012692161 |
|    clip_fraction        | 0.223       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.526      |
|    explained_variance   | 0.286       |
|    learning_rate        | 0.000495    |
|    loss                 | -0.0134     |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 0.0152      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 194        |
|    ep_rew_mean          | 0.696      |
| time/                   |            |
|    fps                  | 1748       |
|    iterations           | 10         |
|    time_elapsed         | 749        |
|    total_timesteps      | 1310720    |
| train/                  |            |
|    approx_kl            | 0.01416872 |
|    clip_fraction        | 0.22       |
|    clip_range           | 0.149      |
|    entropy_loss         | -0.467     |
|    explained_variance   | 0.289      |
|    learning_rate        | 0.000494   |
|    loss                 | -0.0117    |
|    n_updates            | 36         |
|    policy_gradient_loss | -0.00961   |
|    value_loss           | 0.0125     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 182         |
|    ep_rew_mean          | 0.987       |
| time/                   |             |
|    fps                  | 1739        |
|    iterations           | 11          |
|    time_elapsed         | 828         |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    approx_kl            | 0.016595725 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.413      |
|    explained_variance   | 0.343       |
|    learning_rate        | 0.000493    |
|    loss                 | -0.0139     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00863    |
|    value_loss           | 0.0103      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 176         |
|    ep_rew_mean          | 1.27        |
| time/                   |             |
|    fps                  | 1725        |
|    iterations           | 12          |
|    time_elapsed         | 911         |
|    total_timesteps      | 1572864     |
| train/                  |             |
|    approx_kl            | 0.016731221 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.367      |
|    explained_variance   | 0.365       |
|    learning_rate        | 0.000493    |
|    loss                 | -0.00856    |
|    n_updates            | 44          |
|    policy_gradient_loss | -0.00725    |
|    value_loss           | 0.0115      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 1.91       |
| time/                   |            |
|    fps                  | 1722       |
|    iterations           | 13         |
|    time_elapsed         | 988        |
|    total_timesteps      | 1703936    |
| train/                  |            |
|    approx_kl            | 0.01866035 |
|    clip_fraction        | 0.196      |
|    clip_range           | 0.148      |
|    entropy_loss         | -0.321     |
|    explained_variance   | 0.485      |
|    learning_rate        | 0.000492   |
|    loss                 | -0.00421   |
|    n_updates            | 48         |
|    policy_gradient_loss | -0.00496   |
|    value_loss           | 0.0159     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 169         |
|    ep_rew_mean          | 2.17        |
| time/                   |             |
|    fps                  | 1717        |
|    iterations           | 14          |
|    time_elapsed         | 1068        |
|    total_timesteps      | 1835008     |
| train/                  |             |
|    approx_kl            | 0.015162966 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.288      |
|    explained_variance   | 0.687       |
|    learning_rate        | 0.000492    |
|    loss                 | -0.00296    |
|    n_updates            | 52          |
|    policy_gradient_loss | -0.00526    |
|    value_loss           | 0.0195      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 168         |
|    ep_rew_mean          | 3.05        |
| time/                   |             |
|    fps                  | 1711        |
|    iterations           | 15          |
|    time_elapsed         | 1148        |
|    total_timesteps      | 1966080     |
| train/                  |             |
|    approx_kl            | 0.017199643 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.266      |
|    explained_variance   | 0.823       |
|    learning_rate        | 0.000491    |
|    loss                 | -0.00203    |
|    n_updates            | 56          |
|    policy_gradient_loss | -0.00431    |
|    value_loss           | 0.0203      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 159         |
|    ep_rew_mean          | 2.7         |
| time/                   |             |
|    fps                  | 1707        |
|    iterations           | 16          |
|    time_elapsed         | 1227        |
|    total_timesteps      | 2097152     |
| train/                  |             |
|    approx_kl            | 0.016656581 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.148       |
|    entropy_loss         | -0.248      |
|    explained_variance   | 0.859       |
|    learning_rate        | 0.00049     |
|    loss                 | 0.00155     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0026     |
|    value_loss           | 0.0216      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 162        |
|    ep_rew_mean          | 3.68       |
| time/                   |            |
|    fps                  | 1706       |
|    iterations           | 17         |
|    time_elapsed         | 1305       |
