Logging to logs/PPO_5
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 150      |
|    ep_rew_mean     | -2.15    |
| time/              |          |
|    fps             | 21615    |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 160          |
|    ep_rew_mean          | -1.66        |
| time/                   |              |
|    fps                  | 19478        |
|    iterations           | 2            |
|    time_elapsed         | 6            |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0033543347 |
|    clip_fraction        | 0.0518       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.793       |
|    explained_variance   | -0.299       |
|    learning_rate        | 0.00025      |
|    loss                 | 0.145        |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00494     |
|    value_loss           | 0.255        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 171         |
|    ep_rew_mean          | -1.5        |
| time/                   |             |
|    fps                  | 18919       |
|    iterations           | 3           |
|    time_elapsed         | 10          |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.003994248 |
|    clip_fraction        | 0.074       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.792      |
|    explained_variance   | 0.14        |
|    learning_rate        | 0.00025     |
|    loss                 | 0.104       |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.00618    |
|    value_loss           | 0.216       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 169        |
|    ep_rew_mean          | -1.32      |
| time/                   |            |
|    fps                  | 18592      |
|    iterations           | 4          |
|    time_elapsed         | 14         |
|    total_timesteps      | 262144     |
| train/                  |            |
|    approx_kl            | 0.00452643 |
|    clip_fraction        | 0.0883     |
|    clip_range           | 0.15       |
|    entropy_loss         | -0.782     |
|    explained_variance   | 0.203      |
|    learning_rate        | 0.00025    |
|    loss                 | 0.101      |
|    n_updates            | 12         |
|    policy_gradient_loss | -0.00637   |
|    value_loss           | 0.174      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 192          |
