Logging to logs/ppo_cnn_4x4_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 60.6     |
|    ep_rew_mean     | -0.738   |
| time/              |          |
|    fps             | 1941     |
|    iterations      | 1        |
|    time_elapsed    | 33       |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 65.2         |
|    ep_rew_mean          | -0.748       |
| time/                   |              |
|    fps                  | 1464         |
|    iterations           | 2            |
|    time_elapsed         | 89           |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0030302773 |
|    clip_fraction        | 0.0285       |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.604       |
|    explained_variance   | -0.511       |
|    learning_rate        | 0.0005       |
|    loss                 | 0.0285       |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00302     |
|    value_loss           | 0.101        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 67.2         |
|    ep_rew_mean          | -0.534       |
| time/                   |              |
|    fps                  | 1356         |
|    iterations           | 3            |
|    time_elapsed         | 144          |
|    total_timesteps      | 196608       |
| train/                  |              |
|    approx_kl            | 0.0051690843 |
|    clip_fraction        | 0.131        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.588       |
|    explained_variance   | 0.299        |
|    learning_rate        | 0.000499     |
|    loss                 | 0.0147       |
|    n_updates            | 8            |
|    policy_gradient_loss | -0.012       |
|    value_loss           | 0.0628       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 77.8         |
|    ep_rew_mean          | 0.0489       |
| time/                   |              |
|    fps                  | 1314         |
|    iterations           | 4            |
|    time_elapsed         | 199          |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0056163613 |
|    clip_fraction        | 0.134        |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.55        |
|    explained_variance   | 0.305        |
|    learning_rate        | 0.000499     |
|    loss                 | 0.0155       |
|    n_updates            | 12           |
|    policy_gradient_loss | -0.0122      |
|    value_loss           | 0.0674       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 78.4         |
|    ep_rew_mean          | 0.241        |
| time/                   |              |
|    fps                  | 1277         |
|    iterations           | 5            |
|    time_elapsed         | 256          |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0072116284 |
|    clip_fraction        | 0.13         |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.5         |
|    explained_variance   | 0.315        |
|    learning_rate        | 0.000499     |
|    loss                 | 0.0199       |
|    n_updates            | 16           |
|    policy_gradient_loss | -0.0112      |
|    value_loss           | 0.0723       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.2        |
|    ep_rew_mean          | 1.47        |
| time/                   |             |
|    fps                  | 1262        |
|    iterations           | 6           |
|    time_elapsed         | 311         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.008349888 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.444      |
|    explained_variance   | 0.351       |
|    learning_rate        | 0.000498    |
|    loss                 | 0.0212      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0115     |
|    value_loss           | 0.0813      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.8        |
|    ep_rew_mean          | 2.04        |
| time/                   |             |
|    fps                  | 1245        |
|    iterations           | 7           |
|    time_elapsed         | 368         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.010212655 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.393      |
|    explained_variance   | 0.469       |
|    learning_rate        | 0.000498    |
|    loss                 | 0.02        |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.0111     |
|    value_loss           | 0.0746      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.4        |
|    ep_rew_mean          | 2.05        |
| time/                   |             |
|    fps                  | 1243        |
|    iterations           | 8           |
|    time_elapsed         | 421         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.010991229 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.34       |
|    explained_variance   | 0.654       |
|    learning_rate        | 0.000498    |
|    loss                 | 0.00658     |
|    n_updates            | 28          |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 0.0462      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.2        |
|    ep_rew_mean          | 2.12        |
| time/                   |             |
|    fps                  | 1233        |
|    iterations           | 9           |
|    time_elapsed         | 478         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.014785588 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.293      |
|    explained_variance   | 0.778       |
|    learning_rate        | 0.000497    |
|    loss                 | -0.000841   |
|    n_updates            | 32          |
|    policy_gradient_loss | -0.0102     |
|    value_loss           | 0.0311      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 41.5        |
|    ep_rew_mean          | 2.17        |
| time/                   |             |
|    fps                  | 1225        |
|    iterations           | 10          |
|    time_elapsed         | 534         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.017957445 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.226      |
|    explained_variance   | 0.811       |
|    learning_rate        | 0.000497    |
|    loss                 | 0.000853    |
|    n_updates            | 36          |
|    policy_gradient_loss | -0.00763    |
|    value_loss           | 0.0247      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.5        |
|    ep_rew_mean          | 2.29        |
| time/                   |             |
|    fps                  | 1218        |
|    iterations           | 11          |
|    time_elapsed         | 591         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.020634625 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.149       |
|    entropy_loss         | -0.158      |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.000497    |
|    loss                 | -0.000781   |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00453    |
|    value_loss           | 0.0197      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 38.7       |
|    ep_rew_mean          | 2.21       |
| time/                   |            |
|    fps                  | 1213       |
|    iterations           | 12         |
|    time_elapsed         | 648        |
|    total_timesteps      | 786432     |
| train/                  |            |
|    approx_kl            | 0.01318117 |
|    clip_fraction        | 0.0811     |
|    clip_range           | 0.149      |
|    entropy_loss         | -0.116     |
|    explained_variance   | 0.823      |
|    learning_rate        | 0.000496   |
|    loss                 | 0.00366    |
|    n_updates            | 44         |
|    policy_gradient_loss | -0.00133   |
|    value_loss           | 0.0182     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.4        |
|    ep_rew_mean          | 2.23        |
| time/                   |             |
|    fps                  | 1208        |
|    iterations           | 13          |
|    time_elapsed         | 705         |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.015654948 |
